Director,Tier,CareerPhase,Region,PrimaryLane,SecondaryLanes,ScaleProven,TonalDNA,Last3Features,LastFilm,LastFilmYear,LastFilmType,NextProject,NextStatus,ActorMagnet,PackagingNotes,OpsNotes,ResearchStatus,SeededOn,WikipediaSearch,IMDbSearch,TheNumbersURL,Last3_Source,Film1_Title,Film1_ReleaseDate,Film1_DomesticGrossUSD,Film1_IntlGrossUSD,Film1_WWGrossUSD,Film2_Title,Film2_ReleaseDate,Film2_DomesticGrossUSD,Film2_IntlGrossUSD,Film2_WWGrossUSD,Film3_Title,Film3_ReleaseDate,Film3_DomesticGrossUSD,Film3_IntlGrossUSD,Film3_WWGrossUSD,LastFilmWWGrossUSD,BudgetBandTypical,BudgetBandLowUSD,BudgetBandHighUSD,id,director_qid,tier_ai,tier_ai_confidence,tier_ai_as_of,availability_ai,availability_ai_confidence,availability_ai_as_of,ai_evidence_urls,reps_manual,internal_notes,exclude,watchlist_priority
Christopher Nolan,T0,Peak (Event filmmaker),,Epic drama / high-concept spectacle,"Historical, thriller",$100M–$250M+,"Precision, IMAX spectacle, time/structure games",Oppenheimer (2023); Tenet (2020); Dunkirk (2017),Oppenheimer,2023,Theatrical,The Odyssey,Post-production/announced release,5,Can attract A-list and premium formats; schedule locked to July 2026 release.,Long prep/post; prefers high control and specific formats.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Christopher+Nolan,https://www.imdb.com/find/?q=Christopher+Nolan&s=nm,https://www.the-numbers.com/person/106410401-Christopher-Nolan,The Numbers,Oppenheimer,"Jul 21, 2023",330078895,646678360,976757255,Tenet,"Sep 3, 2020",59473550,306800000,366273550,Dunkirk,"Jul 21, 2017",190068280,338000000,528068280,976757255,,,,MANUAL:0c710e67f8a2f72f50bf9dd69f32509209cff773,,,,,,,,,,,,
Denis Villeneuve,T0,Peak (Prestige + tentpole),,Sci-fi / epic worldbuilding,"Thriller, drama",$100M–$200M+,"Atmospheric, austere, grounded scale",Dune: Part Two (2024); Dune (2021); Blade Runner 2049 (2017),Dune: Part Two,2024,Theatrical,James Bond (next film) / Dune: Part Three,Announced / in development,5,Bankable for elevated sci-fi/action; high studio alignment; schedule likely locked.,Large-scale VFX and long post cycles common.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Denis+Villeneuve,https://www.imdb.com/find/?q=Denis+Villeneuve&s=nm,https://www.the-numbers.com/person/447440401-Denis-Villeneuve,The Numbers,Dune: Part Two,"Mar 1, 2024",282709065,432497130,715206195,Dune,"Oct 22, 2021",111031267,318518799,429550066,Blade Runner 2049,"Oct 6, 2017",92054159,167100000,259154159,715206195,,,,MANUAL:8b699a40a10ac6c68e7f3db048df694db1bb9516,,,,,,,,,,,,
Greta Gerwig,T0,Peak (IP + auteur),,Comedy/drama with strong voice; IP reinvention,Fantasy,$50M–$200M,"Character-forward, witty, empathetic",Barbie (2023); Little Women (2019); Lady Bird (2017),Barbie,2023,Theatrical,Narnia: The Magician's Nephew,Announced / pre-production,5,Strong actor/brand magnet; lanes beyond comedy now include big fantasy.,Likely high creative control; talent-heavy ensembles.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Greta+Gerwig,https://www.imdb.com/find/?q=Greta+Gerwig&s=nm,https://www.the-numbers.com/person/54050401-Greta-Gerwig,The Numbers,Barbie,"Jul 21, 2023",636785476,810900000,1447685476,Little Women,"Dec 25, 2019",108095955,110742431,218838386,Lady Bird,"Nov 3, 2017",48958273,31150209,80108482,1447685476,,,,MANUAL:25600245cab942729122d78d71f2ecf32d1ef41b,,,,,,,,,,,,
James Gunn,T0,Peak (franchise architect + director),,Superhero / big ensemble action-comedy,Genre comedy,$150M–$225M+,"Heart + humor, weirdness, ensemble dynamics",Superman (2025); Guardians of the Galaxy Vol 3 (2023); The Suicide Squad (2021),Superman,2025,Theatrical,Man of Tomorrow (Super-Family follow-up),Announced / in development,5,Extremely strong studio leverage; schedule largely committed.,Runs studio + directs—availability is the bottleneck.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=James+Gunn,https://www.imdb.com/find/?q=James+Gunn&s=nm,https://www.the-numbers.com/person/59460401-James-Gunn,The Numbers,Superman,"Jul 11, 2025",354223803,262600000,616823803,Guardians of the Galaxy Vol 3,"May 5, 2023",358995815,486559962,845555777,The Suicide Squad,"Aug 5, 2021",55817425,112900000,168717425,616823803,,,,MANUAL:bb3f4932fb9f66d31419ad7ae62268f5701a953a,,,,,,,,,,,,
Martin Scorsese,T0,Legacy peak,,Crime / prestige drama,Historical epic,$50M–$200M,Character + moral complexity,Killers of the Flower Moon (2023); The Irishman (2019); Silence (2016),Killers of the Flower Moon,2023,Theatrical+streamer,What Happens at Night,Announced,5,Top prestige attachment; often talent-driven packages.,Long runtimes/edits; schedule depends on lead talent.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Martin+Scorsese,https://www.imdb.com/find/?q=Martin+Scorsese&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1be4b478183ca493bb0378887d034b49f533eeb9,,,,,,,,,,,,
Matt Reeves,T0,Peak (franchise + auteur),,Dark franchise thriller,"Sci-fi, drama",$100M–$200M,"Noir mood, grounded intensity",The Batman (2022); War for the Planet of the Apes (2017); Dawn of the Planet of the Apes (2014),The Batman,2022,Theatrical,The Batman: Part II,Announced; filming spring 2026 (reported),4,Strong tonal franchise; likely unavailable through production.,Long dev cycles; careful worldbuilding.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Matt+Reeves,https://www.imdb.com/find/?q=Matt+Reeves&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1270674469c4639850b400137f745fd43966f4b5,,,,,,,,,,,,
Ridley Scott,T0,Established (high output),,Epic / historical / sci-fi,Thriller,$50M–$300M+,"Classical spectacle, muscular drama",Gladiator II (2024); Napoleon (2023); The Last Duel (2021),Gladiator II,2024,Theatrical,The Dog Stars,Scheduled,4,Can mount big productions; often multiple projects in flight.,High output but large logistics; schedule can shift.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ridley+Scott,https://www.imdb.com/find/?q=Ridley+Scott&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:42b5c1a7775ca1c21bf68ac96db20241894cd2a8,,,,,,,,,,,,
Shawn Levy,T0,Peak (studio event + IP),,Commercial action/adventure comedy,"Sci-fi, franchise",$100M–$250M+,Big-hearted crowd-pleaser,Deadpool & Wolverine (2024); The Adam Project (2022); Free Guy (2021),Deadpool & Wolverine,2024,Theatrical,Star Wars: Starfighter,Post-production (filming wrapped Dec 2025),5,Top-tier commercial attachment; schedule tied to SW post pipeline.,Large VFX post; Disney/Lucasfilm process.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Shawn+Levy,https://www.imdb.com/find/?q=Shawn+Levy&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:94385576efb3cb1b97f7dc58ae74e302964f6508,,,,,,,,,,,,
Barry Jenkins,T1,Peak (prestige + Disney scale),,Character drama,"Family musical (CG), sci-fi thriller (next)",$30M–$200M,"Emotional intimacy, lyrical imagery",Mufasa: The Lion King (2024); If Beale Street Could Talk (2018); Moonlight (2016),Mufasa: The Lion King,2024,Theatrical,The Natural Order,In talks / announced package,4,Can bridge prestige to commercial; actors respond.,Lane varies widely depending on project scale.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Barry+Jenkins,https://www.imdb.com/find/?q=Barry+Jenkins&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:db824f2ef0b447d11343956cf916463e05fc6f75,,,,,,,,,,,,
Bong Joon Ho,T1,Established (international event auteur),,Satirical genre blends,"Sci-fi, thriller",$30M–$120M,"Dark humor, class politics, tonal pivots",Mickey 17 (2025); Parasite (2019); Okja (2017),Mickey 17,2025,Theatrical,Untitled animated film (in progress),In development/production (reported),4,High prestige; language/market considerations; next project long-horizon.,Complex VFX and post cycles.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Bong+Joon+Ho,https://www.imdb.com/find/?q=Bong+Joon+Ho&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:cd345cb337e477b0de4832c78341a39fee20d32e,,,,,,,,,,,,
